FECHA;HORA;TEMP;HUM;PNM;DD;FF;NOMBRE
09122021;0;21.20;79.00;1016.60;200;30;SAN JUAN AERO
09122021;1;19.00;78.00;1016.70;180;33;SAN JUAN AERO
09122021;0;12.60;42.00;1020.00;360;65;SAN JULIAN AERO
09122021;1;11.70;47.00;1019.30;360;65;SAN JULIAN AERO
09122021;0;18.00;88.00;1016.00;90;28;SAN LUIS AERO
09122021;1;18.00;83.00;1015.80;90;19;SAN LUIS AERO
09122021;0;16.20;94.00;1017.80;140;9;SAN MARTIN (MZA)
09122021;1;16.30;93.00;1017.30;140;9;SAN MARTIN (MZA)
09122021;0;14.80;98.00;1019.50;140;7;SAN RAFAEL AERO
09122021;1;14.00;98.00;1019.40;180;6;SAN RAFAEL AERO
09122021;9;18.90;31.00;1014.10;290;28;SANTA CRUZ AERO
09122021;10;21.30;29.00;1013.90;290;19;SANTA CRUZ AERO
09122021;0;15.40;93.00;1020.70;160;24;SANTA ROSA AERO
09122021;1;14.70;91.00;1020.80;160;24;SANTA ROSA AERO
09122021;8;17.40;96.00;1015.10;270;7;SANTA ROSA DE CONLARA AERO
09122021;9;17.80;94.00;1015.10;180;7;SANTA ROSA DE CONLARA AERO
09122021;0;30.50;38.00;1009.90;110;13;SANTIAGO DEL ESTERO AERO
09122021;1;29.40;41.00;1009.80;90;17;SANTIAGO DEL ESTERO AERO
09122021;6;18.50;76.00;1014.20;140;7;SAUCE VIEJO AERO
09122021;7;22.40;53.00;1014.80;90;11;SAUCE VIEJO AERO
09122021;0;21.40;64.00;1014.50;140;9;SUNCHALES AERO
09122021;1;21.00;65.00;1014.80;180;4;SUNCHALES AERO
09122021;0;17.40;82.00;1019.40;50;7;TANDIL AERO
09122021;1;16.60;90.00;1018.90;0;0;TANDIL AERO
09122021;0;27.60;60.00;1009.10;270;15;TARTAGAL AERO
09122021;1;27.20;62.00;1008.00;270;19;TARTAGAL AERO
09122021;8;24.80;63.00;1011.70;90;11;TERMAS DE RIO HONDO AERO
09122021;9;24.60;64.00;1011.90;140;11;TERMAS DE RIO HONDO AERO
09122021;6;18.40;97.00;1494.00;90;9;TINOGASTA
09122021;9;18.20;99.00;1509.00;110;9;TINOGASTA
09122021;0;10.40;69.00;1028.20;160;6;TRELEW AERO
09122021;1;9.90;71.00;1027.40;160;7;TRELEW AERO
09122021;9;17.70;88.00;1018.80;180;7;TRENQUE LAUQUEN
09122021;15;21.70;77.00;1017.40;180;6;TRENQUE LAUQUEN
09122021;0;18.90;89.00;1017.40;230;7;TRES ARROYOS
09122021;3;18.00;87.00;1017.90;0;0;TRES ARROYOS
09122021;0;25.50;78.00;1010.70;360;11;TUCUMAN AERO
09122021;1;25.60;77.00;1010.20;320;9;TUCUMAN AERO
09122021;0;12.40;55.00;1010.70;360;31;USHUAIA AERO
09122021;1;13.40;47.00;1009.50;40;6;USHUAIA AERO
09122021;9;13.10;84.00;1537.00;0;0;USPALLATA
09122021;12;18.00;62.00;1516.00;0;0;USPALLATA
09122021;6;18.40;84.00;1014.90;90;4;VENADO TUERTO AERO
09122021;7;18.50;87.00;1015.10;90;4;VENADO TUERTO AERO
09122021;0;13.30;92.00;1021.90;180;19;VIEDMA AERO
09122021;1;13.40;91.00;1021.40;180;22;VIEDMA AERO
09122021;0;21.00;61.00;1013.20;0;0;VILLA DE MARIA DEL RIO SECO
09122021;3;23.50;61.00;1012.70;90;9;VILLA DE MARIA DEL RIO SECO
09122021;0;19.20;92.00;1015.30;0;0;VILLA DOLORES AERO
09122021;1;19.00;95.00;1014.70;140;9;VILLA DOLORES AERO
09122021;8;21.60;75.00;1020.80;20;17;VILLA GESELL AERO
09122021;9;23.10;66.00;1021.10;20;17;VILLA GESELL AERO
09122021;0;19.60;91.00;1017.80;90;9;VILLA REYNOLDS AERO
09122021;1;19.30;95.00;1017.40;0;0;VILLA REYNOLDS AERO
